City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,carutapera,-1.195,-46.02,296.72,96,100,2.0,BR,1739158008
83,polyany,54.7122,39.8231,265.61,97,20,1.15,RU,1739158009
84,queenstown,-31.8976,26.8753,287.78,90,100,2.13,ZA,1739158010
85,bamboo flat,11.7,92.7167,302.2,70,40,4.63,IN,1739158011
86,anadyr,64.75,177.4833,271.43,80,75,3.0,RU,1739158012
87,nuuk,64.1835,-51.7216,265.49,100,100,1.03,GL,1739158013
88,shingu,33.7333,135.9833,281.78,37,16,5.67,JP,1739158014
89,senanga,-16.1167,23.2667,292.11,94,85,1.58,ZM,1739158015
90,lihue,21.9789,-159.3672,297.92,69,0,3.6,US,1739158016
91,sokolow podlaski,52.4068,22.2531,269.37,48,0,3.69,PL,1739158018
92,daru,-9.0763,143.2092,303.34,66,100,2.46,PG,1739158019
93,ushuaia,-54.8,-68.3,277.25,94,38,1.95,AR,1739157902
94,marsh harbour,26.5412,-77.0636,295.95,80,0,4.36,BS,1739158021
95,alice springs,-23.7,133.8833,313.9,13,20,4.63,AU,1739158022
96,ortega,3.9361,-75.2217,297.8,83,100,0.44,CO,1739158023
97,berwick-upon-tweed,55.7833,-2.0,277.44,72,100,8.17,GB,1739158024
98,chonchi,-42.6128,-73.8092,287.66,89,96,5.25,CL,1739158025
99,nogent-sur-seine,48.4167,3.75,277.74,87,99,2.71,FR,1739158026
100,namibe,-15.1961,12.1522,296.38,83,100,1.71,AO,1739158027
101,qaqortoq,60.7167,-46.0333,268.31,86,100,3.93,GL,1739158028
102,kingston,17.997,-76.7936,298.68,69,20,4.12,JM,1739158029
103,hanahan,32.9185,-80.022,293.82,86,30,0.45,US,1739158030
104,atafu village,-8.5421,-172.5159,301.63,74,9,5.27,TK,1739158031
105,hengyang,26.8881,112.615,280.25,58,100,0.35,CN,1739158032
106,lerwick,60.1545,-1.1494,277.91,72,7,2.66,GB,1739158034
107,kerikeri,-35.2268,173.9474,292.27,92,99,2.48,NZ,1739158036
108,port saint john's,-31.6229,29.5448,294.16,87,100,1.89,ZA,1739158037
109,polyarnyy,69.1989,33.4478,271.25,78,45,14.99,RU,1739158038
110,alaghsas,17.0187,8.0168,294.24,19,7,4.89,NE,1739158039
111,pimentel,-6.8367,-79.9342,298.31,69,100,1.03,PE,1739158040
112,ashburton,-37.8626,145.0794,299.92,55,52,4.47,AU,1739158041
113,biltine,14.5333,20.9167,294.52,18,1,5.13,TD,1739158042
114,cururupu,-1.8283,-44.8683,295.97,100,100,0.52,BR,1739158043
115,tekkali,18.6167,84.2333,297.33,70,5,1.5,IN,1739158045
116,yuzhno-kurilsk,44.0306,145.8556,270.96,83,100,9.18,RU,1739158046
117,fale old settlement,-9.3852,-171.2468,302.1,70,88,5.17,TK,1739158047
118,longyearbyen,78.2186,15.6401,266.06,58,75,8.23,SJ,1739158048
119,aioun,16.6614,-9.6149,294.67,16,86,5.42,MR,1739158049
120,ciudad bolivar,8.1222,-63.5497,299.07,69,42,6.94,VE,1739158050
121,west island,-12.1568,96.8225,300.14,94,75,8.23,CC,1739158051
122,hasaki,35.7333,140.8333,280.41,32,53,3.04,JP,1739158053
123,illizi,26.4833,8.4667,284.56,37,0,3.93,DZ,1739158054
124,shunyi,40.125,116.6453,274.12,18,0,2.0,CN,1739158056
